E,d,ne,vp,HBN
6.42,24.07,3.14,4964.44,975.79
5.7,24.05,3.21,4905.59,762.06
5.34,24.03,3.37,4830.52,695.82
5.29,24,3.53,4645.79,637.86
4.88,24.27,3.48,4845.55,586.86
4.7,24.23,3.73,4690.47,563.62
3.63,24.21,3.95,4284.51,433.68
3.95,24.03,3.73,4738.3,433.68
3.39,23.95,4.06,4334.33,378.67
2.78,23.84,4.29,3876.24,366.56
6.51,23.49,3.16,4931.86,727.81
6.13,23.06,4.13,4818.39,611.56
5.94,22.94,4.88,4713.45,541.73
5.3,22.71,5.73,4621.48,483.21
5.63,22.53,4.39,4762.16,391.4
4.53,22.52,5.66,4640.35,355.01
3.72,22.49,6.66,4473.04,346.71
5.15,23.78,4.6,4498.85,344
3.41,23.7,6.4,4163.82,333.5
2.84,23.57,7.75,3770.74,271.81
3.97,22.58,4.19,4845.93,893.88
3.75,22.48,4.57,4794.15,762.06
3.54,22.15,5.07,4714.02,611.56
3.41,22.01,5.6,4578.96,586.86
3.65,23.27,5.04,4740.25,611.56
3.31,23.25,5.71,4639.86,586.86
2.79,23.21,6.54,4513.11,521.09
3.11,23.14,5.77,4671.77,483.21
2.72,23.04,6.65,4185.24,465.8
2.17,22.85,7.55,3759.79,449.31
7.36,25.22,0.63,5290.81,838.22
6.21,25.07,0.7,5116.82,695.82
5.04,24.95,0.78,4993.48,665.9
4.43,24.76,0.87,4859.59,637.86
5.82,25.29,0.74,5061.91,563.62
4.65,25.28,0.84,4880.37,483.21
3.53,25.25,0.93,4711.09,465.8
5.47,24.93,0.87,4645.05,449.31
3.94,24.85,0.99,4272.91,433.68
3.03,24.69,1.11,3919.26,378.67
6.76,25.1,0.44,5264.22,695.82
5.52,24.98,0.53,5148.04,541.73
4.74,24.83,0.63,5047.94,465.8
3.92,24.58,0.78,4928.61,418.86
5.1,24.68,0.74,5061.65,391.4
3.82,24.67,0.89,4888.37,378.67
3.11,24.64,1,4501.99,355.01
4.64,25.21,0.9,4810.27,344
3.35,25.14,1.21,4420.91,304.72
2.66,24.94,1.32,3987.41,295.95
7.5,25.43,0.15,5090.87,838.22
6.53,25.04,0.36,4959.56,762.06
5.44,25.01,0.37,4840.79,563.62
4.55,24.91,0.51,4591.7,541.73
6.17,25.16,0.43,4884.35,501.62
5,25.15,0.47,4677.25,465.8
3.75,25.12,0.62,4429.29,433.68
5.71,25.57,0.55,4854.55,418.86
3.99,25.48,0.6,4635.78,404.78
2.67,25.33,0.93,4262.11,344
8.03,25.4,0.37,5347.06,926.39
6.79,25.27,0.42,5173.13,762.06
5.81,25.13,0.49,5082.41,586.86
4.43,24.99,0.57,5013.99,541.73
6.08,25.78,0.44,5040.47,521.09
4.62,25.77,0.54,4861.91,501.62
3.76,25.74,0.61,4771.32,465.8
5.51,25.13,0.49,4912.53,404.78
3.89,25.04,0.63,4576.53,366.56
3.03,24.9,0.69,4229.14,344
